zipcode,countyNumber
52402,57
50129,57
50662,33
52241,52
51346,71
52601,29
51201,71
50266,77
50317,77
51501,78
51503,78
51031,75
50131,77
51105,97
50320,77
50322,77
52403,57
51106,97
50158,64
51301,21
52807,82
50314,77
52804,82
52730,23
51012,18
52722,48
52302,57
51040,67
50112,79
50701,7
50325,77
50010,85
52761,70
52003,31
52001,31
52627,56
50208,50
52655,29
51537,83
52641,44
52778,70
50517,55
50602,12
50703,7
50036,8
52240,52
50585,11
50613,7
52101,96
52531,68
50677,9
50171,79
50265,77
50588,11
50310,77
50501,94
50563,13
50009,77
50659,19
52544,4
50138,63
50315,77
51546,43
50583,81
51577,78
51101,97
52556,51
52404,57
50109,25
50401,17
50309,77
50022,15
50595,40
50014,85
51401,14
50436,95
50300,77
50674,9
52776,70
52802,82
51246,60
52159,22
50049,59
52806,82
52002,31
50111,77
50126,42
50023,77
52577,10
52084,82
52591,54
52353,92
50250,1
50312,77
50021,77
50054,50
50311,77
51360,30
50833,87
52501,90
51237,60
50321,77
51510,78
52632,56
52316,48
50248,85
50263,25
52327,92
51566,69
50801,88
51331,30
51355,30
51104,97
50125,91
51103,97
52748,82
51050,75
52732,23
51034,67
52401,57
52052,22
52040,31
51601,73
52057,28
50644,10
52205,53
50163,63
52060,49
51351,30
52803,82
51054,97
50069,25
50441,35
50597,55
50435,34
52136,45
50638,38
52303,57
50261,25
50511,55
52033,31
50548,46
50601,94
50590,55
50122,42
50707,7
52208,6
51555,43
51347,30
52175,33
52314,57
50170,50
50651,7
52211,79
50327,77
50316,77
50136,50
52324,57
51534,65
50428,17
51521,78
52332,6
51442,24
51025,47
52342,86
50421,99
52317,48
52161,96
50273,61
52349,6
52625,56
50483,55
51055,97
52411,57
50459,98
50543,94
51241,60
52233,57
51338,21
51560,78
50211,91
50461,66
52151,3
50035,77
50643,7
52753,82
52246,52
52726,82
50033,61
50616,34
51334,32
50313,77
50630,19
50628,45
52747,16
50220,25
50020,15
52087,28
50216,39
52310,53
50647,7
52031,49
712-2,43
51003,84
52565,89
50619,12
50579,13
50060,93
50514,32
50142,64
50201,85
50438,41
50536,74
52004,31
52245,52
50841,2
50213,20
51250,84
52653,58
52340,52
51028,75
50058,14
50533,99
50622,9
50529,46
52358,16
51109,97
52172,3
51455,14
51248,71
52742,23
52537,26
52043,22
52046,31
52347,79
50156,8
50525,99
50130,40
50247,48
52213,57
50621,38
52772,16
50144,27
52306,16
52144,96
52637,29
52338,52
50219,63
50675,86
51108,97
52733,23
50458,34
52248,54
52356,90
52253,57
50003,25
50849,1
52049,22
50627,42
52301,48
51245,71
50226,77
50244,85
50424,95
50276,25
51561,65
52035,28
51023,84
50636,12
50075,40
50854,80
52361,48
51632,22
52214,57
50629,10
52738,58
51559,78
51249,72
52042,22
50606,33
50450,95
51004,97
51041,84
51046,71
51240,60
50569,94
51461,24
50469,17
51450,81
51001,75
51551,65
52154,19
50641,10
52751,23
50047,91
50025,5
52656,56
50225,63
50140,27
50115,39
51445,47
50072,61
50851,87
52162,3
52623,29
50648,10
51247,84
50554,76
50574,76
51579,43
50124,85
51027,84
50682,10
50581,76
52328,57
50472,66
51342,74
52571,4
50249,40
51035,18
50028,50
51058,71
50530,94
52333,52
50676,9
52053,31
50456,98
50002,1
50423,41
50466,66
52068,31
51462,37
52157,22
52142,33
50635,48
50212,8
50846,1
52166,33
50324,77
52553,90
51449,13
50665,12
50207,62
50046,77
52768,82
50056,85
50240,61
51038,75
50864,69
50323,77
50251,50
51358,74
50006,42
52037,23
52207,49
50160,91
50702,94
50076,5
51005,18
52336,57
52146,3
51053,81
52554,90
52345,6
50603,19
50135,50
52626,89
50015,85
51575,78
50667,7
50174,20
51526,78
50541,46
52224,86
50044,63
50210,91
50535,81
52079,49
52076,22
51535,15
50680,38
52777,23
50048,39
50575,13
50830,88
50071,99
56201,29
52728,82
50658,19
50161,85
52227,57
52405,29
51443,14
52069,49
51640,36
50669,38
52223,28
