countyId,countyName
57,Linn
33,Fayette
52,Johnson
71,O'Brien
82,Scott
29,Des Moines
77,Polk
78,Pottawattamie
75,Plymouth
97,Woodbury
64,Marshall
21,Clay
73,Page
23,Clinton
18,Cherokee
48,Iowa
67,Monona
79,Poweshiek
7,Black Hawk
85,Story
70,Muscatine
31,Dubuque
56,Lee
50,Jasper
83,Shelby
44,Henry
55,Kossuth
12,Butler
8,Boone
11,Buena Vista
96,Winneshiek
68,Monroe
9,Bremer
94,Webster
13,Calhoun
19,Chickasaw
4,Appanoose
63,Marion
43,Harrison
81,Sac
51,Jefferson
25,Dallas
17,Cerro Gordo
15,Cass
40,Hamilton
14,Carroll
95,Winnebago
60,Lyon
22,Clayton
59,Lucas
42,Hardin
10,Buchanan
54,Keokuk
92,Washington
1,Adair
30,Dickinson
87,Taylor
90,Wapello
69,Montgomery
88,Union
91,Warren
28,Delaware
37,Greene
53,Jones
49,Jackson
35,Franklin
34,Floyd
45,Howard
38,Grundy
46,Humboldt
6,Benton
62,Mahaska
65,Mills
24,Crawford
47,Ida
86,Tama
99,Wright
61,Madison
98,Worth
66,Mitchell
3,Allamakee
32,Emmet
16,Cedar
39,Guthrie
84,Sioux
89,Van Buren
93,Wayne
41,Hancock
74,Palo Alto
2,Adams
20,Clarke
58,Louisa
26,Davis
27,Decatur
80,Ringgold
72,Osceola
5,Audubon
76,Pocahontas
36,Fremont
